Name,Address,RATING,CURRENT,RISK
1912,6201 MAPLE ST,EXCELLENT,7/20/18,HIGH
1000 Degrees Neapolitan Pizzeria,17676 WELCH PLZ STE 9,EXCELLENT,10/25/18,MEDIUM
1000 Degrees Neopolitan Pizzeria,1405 S 204th St #104,EXCELLENT,1/18/19,MEDIUM
11 WORTH CAFÉ,2419 LEAVENWORTH ST,STANDARD,12/18/18,HIGH
13TH STREET BRICKHOUSE,2202 S 13TH ST,FAIR,1/3/18,LOW
13TH STREET COFFEE CO,519 S 13TH ST,EXCELLENT,4/5/18,MEDIUM
3 HAPPINESS EXPRESS,5103 LEAVENWORTH,STANDARD,8/15/18,HIGH
3-5-7 CLUB,2414 AMES AVE,FAIR,5/29/18,LOW
3D BBQ,8501 N 30th St,STANDARD,,MEDIUM
3D BBQ,8501 N 30th St,STANDARD,,MEDIUM
3M,600 E MEIGS ST-VALLEY,STANDARD,5/29/18,MEDIUM
402 BBQ,4001 AMES AVE,STANDARD,3/27/18,MEDIUM
5 GUYS BURGER & FRIES,7345 DODGE ST,SUPERIOR,2/26/18,MEDIUM
5 Guys Burger & Fries,697 N 132 ST,EXCELLENT,3/26/18,MEDIUM
5168 Tap Room,3201 Farnam St #6107,STANDARD,11/30/18,HIGH
801 CHOP HOUSE,1403 FARNAM ST,STANDARD,8/10/18,HIGH
801 Grill,10387 Pacific St,STANDARD,10/19/18,HIGH
99 CENT GROCERY & VARIETY,4205 REDMAN AVE,FAIR,7/16/18,LOW
A B'S DUNDEE 66,4926 UNDERWOOD AVE,STANDARD,5/16/18,LOW
A CATERED AFFAIR,3016 N 102 ST,EXCELLENT,10/24/18,HIGH
A HILL OF BEANS INC,14512 W CENTER RD,STANDARD,1/25/19,LOW
A J ICE CREAM (seasonal),3650 CROWN PT AVE,STANDARD,6/12/18,MEDIUM
A PLUS BUFFET,14426 W CENTER RD,FAIR,8/16/18,HIGH
A Taste of New Orlean, 105 Mission St Belevue,FAIR,6/29/18,MEDIUM
A VIEW WEST,4141 N 156 ST,EXCELLENT,8/21/18,LOW
Abelardo's,4178 L St,STANDARD,8/7/18,MEDIUM
Abelardo's Mexican Food,3420 N 90 ST,STANDARD,7/13/18,HIGH
Abelardo's Mexican Food,3540 CENTER ST,EXCELLENT,1/17/19,HIGH
Abelardo's Mexican Food,1229 S 180th St,STANDARD,9/25/18,HIGH
Abelardo's Mexican Food,5044 S 108 ST,STANDARD,10/16/18,HIGH
Abelardo's Mexican Food,8417 PARK DR,STANDARD,10/11/18,HIGH
Abelardo's Mexican Fresh,6051 Ames Ave,EXCELLENT,10/15/18,HIGH
Abelardo's Mexican Fresh,11811 FORT ST,EXCELLENT,10/22/18,HIGH
Abelardo's Mexican Restaurant,3121 Q St,FAIR,7/20/18,HIGH
Abraham Catering at the Gardens,100 BANCROFT ST,EXCELLENT,8/17/18,HIGH
Abraham Catering at the Joslyn,2200 DODGE ST,EXCELLENT,1/8/19,HIGH
Abraham Catering Service,5520 MILLER AVE - RALSTON,EXCELLENT,1/18/19,HIGH
ABSOLUTELY FRESH SEAFOOD CO,1218 S 119 ST,STANDARD,10/15/18,HIGH
Acadian Grille,725 N 114th St,STANDARD,7/20/18,HIGH
ACCELERANDO COFFEE HOUSE,7023 CASS ST,EXCELLENT,9/5/18,MEDIUM
Ace Sushi @ Fresh Thyme #903,14949 Evans Plz,STANDARD,11/21/18,HIGH
Ace Sushi @ Fresh Thyme #904,17550 Gold Plz,STANDARD,10/16/18,MEDIUM
Ace Sushi @ Fresh Thyme #905,13245 W Center Rd,STANDARD,10/9/18,MEDIUM
ACH SERVICE CENTER,2401 S 73 ST,EXCELLENT,12/7/18,MEDIUM
ACKERMAN ELEM SCHOOL,5110 S 156 ST,SUPERIOR,8/15/18,HIGH
ADAMS ELEM SCHOOL,3420 N 78 ST,SUPERIOR,10/22/18,HIGH
Addy's Sports Bar,14615 W Maple Rd #100,STANDARD,9/21/18,HIGH
ADDY'S SPORTS BAR,1515 S 204 ST STE 107,EXCELLENT,11/29/18,HIGH
Addy's Sports Grill,14110 S ST,STANDARD,8/10/18,HIGH
AFC Sushi @ Baker's #311,5555 N 90 ST,EXCELLENT,12/7/18,MEDIUM
AFC Sushi @ Dillion #302,12025 W CENTER RD,EXCELLENT,8/13/18,HIGH
Affordable Kosher Meat  Inc ,12604 Pacific St,STANDARD,1/15/19,LOW
AFOMA CORNER STORE,5522 S 30 ST,STANDARD,12/6/18,MEDIUM
AFRICAN FARMS,2339 N 90 ST,EXCELLENT,3/23/18,MEDIUM
AFRICAN FOODS,223 S 25 ST,STANDARD,12/12/18,MEDIUM
Agave Azteca,5170 S 72nd St Ste 106 - Ralston,STANDARD,9/27/18,HIGH
Agave Azteca,681 N 132 ST,STANDARD,10/10/18,HIGH
AHMAD'S PERSIAN RESTAURANT,1006 HOWARD ST,STANDARD,7/11/18,HIGH
AJ'S CAF� ,5146 N 90 ST,EXCELLENT,1/23/19,HIGH
AKSARBEN CINEMA,2110 S 67 ST,STANDARD,1/9/19,MEDIUM
AKSARBEN SUITES HOTEL,7270 CEDAR ST,FAIR,9/28/18,HIGH
ALDERMAN'S BAR,3216 LEAVENWORTH ST,EXCELLENT,8/15/18,LOW
Aldi #46,17240 EVANS ST,EXCELLENT,7/24/18,MEDIUM
Aldi #48,885 S 72nd St,EXCELLENT,12/6/18,MEDIUM
Aldi Foods #75,3433 N 90TH STREET,EXCELLENT,4/9/18,MEDIUM
Aldi Inc. #41,4525 DAHLMAN AVE,EXCELLENT,2/21/18,MEDIUM
Aldi Inc. #42,2502 S 133 PLZ,EXCELLENT,5/11/18,MEDIUM
Aldi Inc. #43,4801 N 30 ST,EXCELLENT,4/9/18,MEDIUM
ALDRICH ELEM SCHOOL,506 N 162ND AVE,SUPERIOR,9/26/18,HIGH
Alegent Health,7500 MERCY RD,EXCELLENT,10/18/18,HIGH
ALEGENT HEALTH LAKESIDE HOSP,16901 LAKESIDE HILLS,EXCELLENT,11/14/18,HIGH
Alegent Health McAuley Center,12809 W DODGE RD,EXCELLENT,11/2/18,HIGH
ALFRED'S CATERING,6330 S 30 ST,EXCELLENT,9/18/18,HIGH
ALFRED'S CATERING (Mobile),6330 S 30 ST,STANDARD,9/18/18,MEDIUM
Alicia Y Sus Delicias,2202 S 20th St,STANDARD,10/30/18,MEDIUM
ALL NATIONS GROCERIES,715 S 24 ST,STANDARD,8/9/18,LOW
ALPINE INN,10405 CALHOUN ROAD,STANDARD,1/16/19,HIGH
Altitude Trampoline Park - Omaha,5575 N 90 St,STANDARD,12/11/18,MEDIUM
Amateur Coffee,3913 Cuming St,EXCELLENT,2/7/18,MEDIUM
AMATO'S FOODS INC,6405 CENTER ST,EXCELLENT,9/19/18,HIGH
AMAZING PIZZA MACHINE (THE),13955 S S PLZ,EXCELLENT,12/27/18,MEDIUM
AMC OAKVIEW 24 THEATRES,3555 S 140 PLZ,STANDARD,1/31/18,MEDIUM
AMC THEATERS WESTROADS 14,10000 CALIFORNIA,EXCELLENT,12/7/18,MEDIUM
AMERICAN DREAM,7402 F ST,STANDARD,4/26/18,MEDIUM
AMERICAN G I FORUM,2002 N St,STANDARD,12/28/18,HIGH
AMERICAN ITALIAN HERITAGE SOCIETY,5110 N 132 ST,EXCELLENT,8/31/18,MEDIUM
AMERICAN LEGION POST #1,7811 DAVENPORT ST,STANDARD,5/9/18,MEDIUM
American Legion Post #373, 7400 Q St Ralston,STANDARD,8/8/18,HIGH
American Legion Post-331 S Omaha,4830 S 21 ST,STANDARD,12/21/18,HIGH
AMERICA'S BEST VALUE INN,7101 GROVER ST,STANDARD,3/16/18,MEDIUM
AmericInn Hotel & Suites,9720 W Dodge Rd,EXCELLENT,6/4/18,MEDIUM
AMES AVE CONVENIENCE,4145 AMES AVE,STANDARD,12/6/18,LOW
Amigos, 14840 EVANS PLZ OMAHA,STANDARD,4/18/18,MEDIUM
AMIGO'S,8412 WEST DODGE RD,EXCELLENT,12/14/18,MEDIUM
AMIGO'S HOT DOGS (mobile cart),5134 S 24TH ST,EXCELLENT,4/10/18,MEDIUM
AMIGO'S MARKET,2102 Q ST,STANDARD,1/11/19,HIGH
Ami's Kitchen,8501 N 30th St,EXCELLENT,12/13/18,HIGH
AMSTERDAM FALAFEL & KABOB,10000 CALIFORNIA ST SFC01,EXCELLENT,10/23/18,HIGH
AMSTERDAM FALAFEL & KABOB,620 N 50 ST,EXCELLENT,10/25/18,HIGH
ANDERSON AMOCO FOOD SHOP,11955 PACIFIC ST,EXCELLENT,10/11/17,LOW
Anderson Amoco Food Shop,15635 W DODGE RD,EXCELLENT,9/11/18,MEDIUM
Anderson Amoco Food Shops,17915 ARBOR ST,EXCELLENT,9/11/17,LOW
Anderson Amoco Food Shops,16727 Q ST,STANDARD,11/20/18,MEDIUM
Anderson Convenience Market,2630 S 140th St,EXCELLENT,10/31/18,MEDIUM
Anderson Food Shops,123 N 114 ST,STANDARD,5/16/18,MEDIUM
ANDRE'S TORTILLERY,10317 PACIFIC ST,STANDARD,11/15/18,HIGH
ANDY'S PLACE,3701 F ST,EXCELLENT,4/30/18,LOW
Annie's Irish Pub,1101 Davenport St #110,STANDARD,6/8/18,MEDIUM
Ansel's Pastrami & Bagels,4007 Farnam St,STANDARD,12/17/18,HIGH
ANTHONY PICCOLO'S MOBILE VENUE,02 S 20 ST,EXCELLENT,11/13/18,MEDIUM
ANTHONYS RESTAURANT & LOUNGE,7220 F ST,EXCELLENT,8/30/18,HIGH
Antijitos Dona Mica,3302 Q St,STANDARD,8/28/18,MEDIUM
Antojito's Jaliscienses,1837 Vinton St,STANDARD,7/26/18,MEDIUM
APOLLON,1801 VINTON ST,EXCELLENT,2/23/18,LOW
Applebee's,2829 S 181ST ST,STANDARD,9/12/18,HIGH
APPLEBEE'S NEIGH BAR/GRILL,13208 W MAPLE RD,EXCELLENT,10/9/18,HIGH
Applebee's Neighborhood Grill,7450 DODGE ST,STANDARD,8/28/18,HIGH
