Name,Address,RATING,CURRENT,RISK
13TH STREET BRICKHOUSE,2202 S 13TH ST,FAIR,01/03/18,LOW
AMC OAKVIEW 24 THEATRES,3555 S 140 PLZ,STANDARD,01/31/18,MEDIUM
ANDERSON AMOCO FOOD SHOP,11955 PACIFIC ST,EXCELLENT,10/11/17,LOW
ASIAN MARKET,321 N 76 ST,STANDARD,02/08/18,MEDIUM
Amateur Coffee,3913 Cuming St,EXCELLENT,02/07/18,MEDIUM
Anderson Amoco Food Shops,17915 ARBOR ST,EXCELLENT,09/11/17,LOW
Arby's Roast Beef,14145 S ST,EXCELLENT,02/05/18,MEDIUM
Arbys #0765,4144 S 50th St,EXCELLENT,02/01/18,MEDIUM
Auntie Anne's,10000 California #3442,EXCELLENT,12/05/17,LOW
BERE'S HALL,5716 S 36 ST,FAIR,07/29/17,LOW
BETTER BODIES INC,4117 S 120 ST,EXCELLENT,09/18/17,LOW
BILLY O'S LOUNGE,14241 Fort St # 102&103,EXCELLENT,02/14/18,LOW
BLUE CHIP ULTRA LOUNGE,14805 W MAPLE RD,EXCELLENT,10/13/17,LOW
BUCHANAN'S W DODGE AMOCO,7911 W DODGE RD,EXCELLENT,12/05/17,LOW
BUCKS,4420 L ST,EXCELLENT,01/16/18,LOW
Big Lots #4624,717 S 72nd ST,EXCELLENT,11/09/17,LOW
Bill's Convenience Store,3928 Maple ST,EXCELLENT,11/21/17,LOW
Brew Coffee House & Tasting Room,318 N SPRUCE ST,EXCELLENT,02/12/18,MEDIUM
Brothers Lounge 2002,3812 FARNAM ST,EXCELLENT,08/31/17,LOW
Bucky's Express,6003 Center ST,STANDARD,02/05/18,MEDIUM
Bucky's Express #831,4414 N 30th ST,STANDARD,01/24/18,LOW
Bucky's Express #84,3052 S 84th ST,STANDARD,02/08/18,MEDIUM
Burger King #4062,2912 Dodge ST,EXCELLENT,02/14/18,MEDIUM
Burger King #8625,7205 Ontario ST,EXCELLENT,01/30/18,MEDIUM
Burger King #897,5049 S 108th ST,EXCELLENT,02/14/18,MEDIUM
CANDYOPOLIS,10000 CALIFORNIA ST,EXCELLENT,12/04/17,LOW
CEDAR,8726 COUNTRY SIDE PLZ,EXCELLENT,12/12/17,LOW
COMPLETELY KIDS,2566 ST MARY'S AVE,EXCELLENT,09/22/17,MEDIUM
COPACABANA,17520 WRIGHT ST STE 107-108,EXCELLENT,12/26/17,LOW
CRANE COFFEE/CHILDREN'S HOSPITAL,8200 DODGE ST,STANDARD,09/26/17,LOW
CRYSTAL BEVERAGE MART,4807 S 20 ST,STANDARD,01/16/18,LOW
CUMING FOOD MART,4002 CUMING ST,STANDARD,10/27/17,LOW
CVS/Pharmacy #5634,8315 W CENTER RD,EXCELLENT,12/13/17,LOW
Corky Canvas/Corky Boards, 3157 Farnam St,EXCELLENT,02/14/18,LOW
Crossbones Bar,5611 S 36th St,EXCELLENT,11/15/17,LOW
DINAH MART 3,4854 Q ST,STANDARD,02/13/18,LOW
DISABLED AMERICAN VETERANS,4515 F ST,STANDARD,02/07/18,MEDIUM
DOC'S LEGACY LOUNGE,3922 AMES AVE,EXCELLENT,07/21/17,LOW
DOLPHIN'S CAR WASH,2511 S 140 ST,EXCELLENT,02/13/18,LOW
DUBLINER PUB,1205 HARNEY ST,EXCELLENT,01/05/18,LOW
DUNDEE DOUBLE SHOT,118 N 50 ST,EXCELLENT,08/09/17,LOW
Danny's Corner Store,3301 California St,STANDARD,02/14/18,LOW
Dollar General #10825,8520 Park DR,STANDARD,01/03/18,LOW
Dollar General #19184,5033 S 24th St,STANDARD,09/11/17,LOW
Dollar General #7382,3110 N 90 ST,EXCELLENT,11/16/17,LOW
Dollar General #7383,5636 AMES AVE,EXCELLENT,09/25/17,LOW
Dollar General #7871,4869 L ST,EXCELLENT,01/16/18,LOW
Dollar Tree #6142,14615 W Maple RD STE 5,EXCELLENT,01/05/18,LOW
Douger's,4401 CUMING ST,EXCELLENT,10/12/17,LOW
Dunkin Donuts,4909 S 135th ST #109,EXCELLENT,02/05/18,MEDIUM
EAT FIT GO HEALTHY FOODS,1916 S 67 ST,EXCELLENT,11/29/17,LOW
EILEEN'S COLOSSAL COOKIES,210 S 16th St Ste 104F,EXCELLENT,02/01/18,MEDIUM
ELMWOOD GOLF COURSE,6232 PACIFIC ST,EXCELLENT,11/14/17,LOW
Eat Fit Go - Downtown,1403 FARNAM ST,EXCELLENT,01/16/18,MEDIUM
El Arepon Venezuelan Food,7211 Farnam St,STANDARD,01/26/18,MEDIUM
FILM STREAMS INC,1340 Mike Fahey ST,EXCELLENT,10/18/17,LOW
FIRE FIGHTERS HALL,6005 GROVER ST,STANDARD,02/11/18,MEDIUM
FIREHOUSE SUBS,17010 WRIGHT PLZ STE 145,EXCELLENT,01/31/18,MEDIUM
FLIXX,1015 S 10 ST,EXCELLENT,08/22/17,LOW
FLORENCE FOOD MART,9516 CALHOUN RD,EXCELLENT,02/06/18,LOW
FOUR ACES KWIK STOP,6602 N 30 ST,STANDARD,10/05/17,LOW
FOUR ACES SNACKS & TOBACCO,2408 LEAVENWORTH ST,EXCELLENT,11/22/17,LOW
Family Dollar #5194,1516 NW RADIAL HWY,STANDARD,01/02/18,LOW
Family Dollar Inc #2254,3552 LEAVENWORTH ST,EXCELLENT,01/10/18,LOW
Family Dollar Store #10197,1901 N 72 ST,EXCELLENT,11/30/17,LOW
Family Dollar Store #10693,9930 MAPLE RD,FAIR,01/19/18,LOW
Freddy's Frozen Custard & Steakburgers,2920 So 180th ST,EXCELLENT,01/25/18,MEDIUM
G'S PUB,5051 S 108 ST,STANDARD,09/20/17,LOW
GET DOWN ULTRA LOUNGE,8509 N 30 ST,EXCELLENT,09/22/17,LOW
GET N GO,1706 N 24 ST,STANDARD,02/01/18,MEDIUM
GQBBQ Southern Cuisine,317 S 17 ST,EXCELLENT,06/09/17,MEDIUM
GREAT ESCAPE THEATER,7440 Crown Point AVE,EXCELLENT,02/08/18,MEDIUM
Godfather's Pizza,5010 Grover,STANDARD,02/01/18,MEDIUM
Greatwall Discount & Wholesale,4425 S 84th St,STANDARD,01/24/18,LOW
Green Land Market Grocery & Bakery,4087 S 84 ST,STANDARD,01/23/18,MEDIUM
Gurung Brothers Supermarket,9010 Fort St,EXCELLENT,02/07/18,MEDIUM
Gyro Shack (mobile 9B),2203 S 20th St,EXCELLENT,01/19/18,MEDIUM
HAPPY BAR,601 N 16 ST,STANDARD,02/02/18,LOW
HARDEE'S,12424 L ST,EXCELLENT,01/29/18,MEDIUM
HAVANA GARAGE,1008 HOWARD ST,EXCELLENT,12/27/17,LOW
HOMY INN,1510 N SADDLE CREEK RD,STANDARD,01/22/18,LOW
HOPE SKATE,2200 N 20 ST,EXCELLENT,08/28/17,LOW
Hamilton Food Mart,4901 HAMILTON ST,STANDARD,12/29/17,LOW
Hive Lounge,1207 HARNEY ST,EXCELLENT,01/05/18,LOW
I C C Bowlatorium,2701 S 25th,EXCELLENT,11/30/17,LOW
IMMANUEL VILLAGE STORE,6803 N 68 PLZ,EXCELLENT,11/01/17,LOW
INTERLUDE LOUNGE,7643 PACIFIC ST,STANDARD,10/16/17,LOW
Island Blend,4512 S 132nd St,STANDARD,02/08/18,MEDIUM
J D's Circle In,3602 S 31st,STANDARD,02/09/18,LOW
JAKE'S MINI MART,8320 BLONDO ST,STANDARD,01/17/18,LOW
