Name,Address,RATING,CURRENT,RISK
A B'S DUNDEE 66,4926 UNDERWOOD AVE,STANDARD,05/16/18,LOW
A HILL OF BEANS INC,14512 W CENTER RD,STANDARD,01/25/19,LOW
ALL NATIONS GROCERIES,715 S 24 ST,STANDARD,08/09/18,LOW
AMES AVE CONVENIENCE,4145 AMES AVE,STANDARD,12/06/18,LOW
ANDERSON AMOCO FOOD SHOP,11955 PACIFIC ST,EXCELLENT,10/11/17,LOW
Affordable Kosher Meat  Inc ,12604 Pacific St,STANDARD,01/15/19,LOW
Anderson Amoco Food Shops,17915 ARBOR ST,EXCELLENT,09/11/17,LOW
Artemis Teas,1031 Jones St,STANDARD,02/16/18,LOW
BALI BAR NAILS & SPA,16821 Blondo St #101,STANDARD,08/13/18,LOW
BASKET FOOD,4518 S 24 ST,STANDARD,10/09/18,LOW
BEER CITY,4147 L ST,FAIR,01/02/19,LOW
BETTER BODIES INC,4117 S 120 ST,EXCELLENT,09/18/17,LOW
BIG JIM'S PLUS,3024 AMES ANE,STANDARD,10/02/18,LOW
BLUE CHIP ULTRA LOUNGE,14805 W MAPLE RD,EXCELLENT,10/13/17,LOW
BOURBON SALOON,311 S. 15th St 2nd floor,STANDARD,08/17/18,LOW
BRASS KNOCKER LOUNGE,3012 N 102 ST,FAIR,08/29/18,LOW
BUCKY DEXTER'S,4213 S 84 ST,STANDARD,03/06/18,LOW
Beer Can Alley/The Exchange,1101 Davenport Plz 200-240,STANDARD,06/08/18,LOW
Big Lots #4624,717 S 72nd ST,EXCELLENT,11/09/17,LOW
Bill's Convenience Store,3928 Maple ST,EXCELLENT,11/21/17,LOW
Brokedown Palace (The),8805 Maple St,STANDARD,04/11/18,LOW
Brothers Lounge 2002,3812 FARNAM ST,EXCELLENT,08/31/17,LOW
Bucky's Amoco #32,3909 N 132nd,STANDARD,08/23/18,LOW
Bucky's Express #61,2635 S 160th ST,STANDARD,02/22/18,LOW
Bucky's Express #831,4414 N 30th ST,STANDARD,01/24/18,LOW
CHROME LOUNGE,8552 PARK DR,STANDARD,11/30/18,LOW
CLUB 5216,5216 N 24 ST,STANDARD,11/26/18,LOW
COMPLETE NUTRITION,1110 S 71 ST,STANDARD,04/11/18,LOW
COMPLETE NUTRITION,15805 W MAPLE RD #104,STANDARD,04/30/18,LOW
COMPLETE NUTRITION,16950 WRIGHT PLZ STE 105,STANDARD,06/05/18,LOW
CORNER POCKET,4201 S 38 ST,STANDARD,05/24/18,LOW
